TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP,cluster
Masculino,Branca,Privada,599.7,583.4,723.8,581.4,760.0,PG completo,PG completo,True,17.0,7425.001249999999,1.125,1.125,0.5,3.125,1
Feminino,Branca,Estadual,553.0,438.9,389.3,555.2,700.0,ES incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665,0
Feminino,Preta,Estadual,417.6,447.3,429.9,453.9,640.0,ES incompleto,PG completo,True,17.0,924.001,0.9,0.2,0.2,0.8,0
Masculino,Branca,Privada,535.9,448.8,696.4,510.5,560.0,ES incompleto,PG completo,True,18.0,1155.00125,1.125,0.25,0.25,1.25,0
Feminino,Branca,Privada,618.0,606.8,782.1,665.3,860.0,PG incompleto,PG completo,True,18.0,9900.001666666663,1.0,1.0,0.6666666666666666,3.0,1
Feminino,Parda,Estadual,575.9,488.6,631.7,521.0,600.0,ES incompleto,PG completo,False,18.0,1485.0025,0.5,0.5,0.0,2.5,0
Feminino,Parda,Estadual,352.8,426.2,449.7,424.1,0.0,ES incompleto,ES incompleto,True,20.0,825.0025,1.0,0.0,0.0,1.0,0
Feminino,Preta,Estadual,520.4,402.8,517.5,506.3,520.0,EF-1 incompleto,EF-1 incompleto,True,18.0,550.0016666666667,1.5,0.0,0.3333333333333333,1.6666666666666667,0
Masculino,Parda,Estadual,614.7,630.7,621.7,606.5,680.0,EM incompleto,PG incompleto,True,18.0,742.50125,0.5,0.0,0.0,0.75,1
Feminino,Preta,Privada,613.9,531.0,603.2,614.3,840.0,ES incompleto,PG completo,True,17.0,726.001,0.9,0.6,0.4,2.1,1
Masculino,Parda,Privada,665.1,700.5,805.5,615.3,880.0,PG completo,PG completo,True,17.0,5940.001666666667,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333,1
Feminino,Branca,Estadual,553.1,477.8,653.5,529.5,640.0,EF-1 incompleto,EF-1 incompleto,True,18.0,165.0,0.5,0.0,0.0,1.25,0
Feminino,Branca,Estadual,545.3,533.7,543.2,493.2,600.0,EM incompleto,ES incompleto,True,17.0,907.50125,1.125,0.0,0.25,2.0,0
Feminino,Branca,Estadual,633.0,533.0,615.6,559.1,800.0,EF-1 incompleto,ES incompleto,True,18.0,2244.001,0.9,0.4,0.0,1.9,1
Masculino,Parda,Estadual,456.9,398.0,511.3,481.6,320.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.0,0.3333333333333333,1.6666666666666667,0
Feminino,Branca,Estadual,446.3,456.3,344.6,484.7,600.0,PG incompleto,PG incompleto,True,17.0,1188.001,0.6,0.4,0.2,1.4,0
Feminino,Branca,Estadual,499.6,559.0,392.3,526.6,680.0,EF-1 incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.6666666666666666,3.0,0
Feminino,Branca,Estadual,528.2,527.3,502.4,585.1,660.0,PG incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.0,0.0,1.0,0
Feminino,Branca,Privada,619.4,562.7,718.7,598.0,840.0,PG completo,PG completo,True,18.0,7700.001666666666,1.0,0.6666666666666666,0.3333333333333333,3.0,1
Masculino,Parda,Estadual,593.3,468.0,729.6,608.4,600.0,PG incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.0,1.0,1
Feminino,Branca,Privada,564.8,583.1,656.9,601.4,780.0,PG completo,PG incompleto,True,17.0,4620.000999999999,0.9,0.9,0.8,2.0,1
Masculino,Branca,Privada,684.7,640.0,626.4,563.1,600.0,PG incompleto,PG incompleto,False,17.0,1155.0025,1.0,0.5,0.0,2.0,1
Feminino,Branca,Privada,717.2,693.7,890.1,652.8,980.0,PG completo,PG incompleto,True,18.0,5775.001249999999,1.125,1.125,0.5,3.125,1
Feminino,Branca,Privada,599.7,711.1,817.8,611.4,880.0,ES incompleto,PG incompleto,True,16.0,990.0016666666668,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333,1
Feminino,Branca,Privada,551.4,581.1,511.1,592.1,520.0,EF-1 incompleto,EF-1 incompleto,True,18.0,330.0,1.0,0.0,0.0,2.5,1
Masculino,Branca,Privada,534.6,501.4,616.2,562.9,520.0,PG completo,PG completo,True,17.0,9900.001666666663,1.0,0.6666666666666666,0.6666666666666666,2.333333333333333,0
Masculino,Branca,Privada,611.4,644.5,733.0,618.3,760.0,PG incompleto,PG incompleto,True,17.0,4840.001666666667,1.0,0.3333333333333333,0.6666666666666666,2.0,1
Masculino,Branca,Privada,508.8,550.4,506.3,518.7,800.0,PG completo,PG completo,True,18.0,5940.000999999999,0.9,0.9,0.4,3.7,0
Feminino,Branca,Privada,569.3,520.5,463.1,499.1,600.0,ES incompleto,PG incompleto,True,17.0,2244.001,0.9,0.2,0.2,1.2,0
Masculino,Parda,Estadual,538.3,532.1,706.2,556.0,540.0,EF-2 incompleto,ES incompleto,True,17.0,742.50125,1.125,0.25,0.0,1.5,1
Feminino,Branca,Estadual,625.4,556.5,704.5,568.1,880.0,ES incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.25,1.0,1
Masculino,Branca,Privada,632.8,640.3,701.6,613.8,880.0,PG completo,PG completo,True,18.0,7425.001249999999,1.125,0.5,0.5,2.375,1
Feminino,Branca,Estadual,591.6,554.9,570.2,585.3,760.0,PG incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1
Feminino,Branca,Privada,689.6,718.3,865.1,675.0,920.0,PG completo,PG completo,True,18.0,2475.0012500000003,1.125,1.125,0.5,2.25,1
Feminino,Branca,Privada,475.2,551.6,476.1,544.3,720.0,PG incompleto,PG incompleto,True,17.0,8910.0025,1.0,1.5,0.5,3.0,0
Masculino,Branca,Privada,612.6,570.3,708.1,546.4,840.0,ES incompleto,PG incompleto,True,17.0,14850.0025,1.0,1.0,1.0,4.75,1
Masculino,Parda,Estadual,592.4,553.8,662.8,554.9,420.0,ES incompleto,ES incompleto,True,17.0,462.001,0.9,0.4,0.2,1.2,1
Feminino,Parda,Estadual,529.7,537.8,614.7,584.8,900.0,EM incompleto,ES incompleto,True,18.0,1210.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333,1
Feminino,Preta,Estadual,526.7,366.7,495.7,517.9,560.0,ES incompleto,ES incompleto,True,17.0,165.0,0.0,0.0,0.0,0.75,0
Feminino,Branca,Estadual,592.0,570.4,578.6,550.0,660.0,PG incompleto,PG incompleto,True,20.0,1815.00125,0.75,0.5,0.75,2.125,1
Feminino,Parda,Estadual,576.6,511.9,606.9,622.0,820.0,EM incompleto,PG incompleto,True,18.0,825.0025,1.0,0.5,0.0,2.5,1
Masculino,Parda,Estadual,599.2,490.7,643.4,580.2,580.0,EF-1 incompleto,EF-1 incompleto,True,18.0,462.001,0.9,0.2,0.0,1.6,1
Masculino,Branca,Privada,658.1,599.4,696.7,632.1,560.0,PG completo,PG incompleto,True,18.0,3135.0012500000003,1.125,0.5,0.25,1.75,1
Feminino,Branca,Privada,508.4,425.4,448.0,495.6,640.0,ES incompleto,ES incompleto,True,18.0,742.50125,1.125,0.25,0.5,1.5,0
Masculino,Branca,Privada,541.6,605.6,638.5,526.7,780.0,PG incompleto,PG incompleto,True,18.0,4455.00125,0.5,0.5,0.5,2.0,1
Masculino,Parda,Estadual,574.8,561.8,646.6,546.6,560.0,ES incompleto,ES incompleto,True,17.0,2420.0016666666666,1.0,0.3333333333333333,0.3333333333333333,2.333333333333333,1
Feminino,Parda,Estadual,549.2,509.5,442.4,534.4,580.0,EF-1 incompleto,EM incompleto,True,19.0,412.50125,0.0,0.0,0.25,1.0,0
