,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
5031,Feminino,Parda,Privada,476.0,483.8,495.2,558.8,700.0,ES incompleto,PG incompleto,True,18.0,1485.00125,1.125,0.25,0.5,2.0
5032,Masculino,Branca,Privada,657.9,680.2,837.2,600.1,940.0,PG incompleto,PG incompleto,True,17.0,4455.00125,1.125,0.5,0.25,1.75
5033,Masculino,Preta,Privada,548.8,525.1,606.4,589.1,640.0,PG incompleto,ES incompleto,True,17.0,1155.00125,1.125,0.5,0.25,1.75
5034,Masculino,Branca,Privada,676.7,671.2,643.3,616.5,720.0,PG incompleto,PG completo,True,17.0,5775.001249999999,1.125,0.25,0.5,1.75
5035,Masculino,Branca,Privada,599.8,616.2,785.8,572.6,900.0,PG incompleto,PG incompleto,True,17.0,7425.001249999999,1.125,0.25,0.5,1.75
5036,Masculino,Parda,Estadual,549.8,545.7,648.1,477.4,600.0,PG completo,PG incompleto,True,18.0,2310.0025,1.0,0.5,0.5,3.0
5037,Feminino,Parda,Estadual,439.0,414.1,552.1,451.5,540.0,EF-1 incompleto,EF-1 incompleto,True,18.0,330.00100000000003,0.6,0.0,0.0,0.8
5038,Masculino,Branca,Privada,674.6,627.0,712.7,637.9,800.0,PG completo,PG incompleto,True,18.0,5775.001249999999,1.125,1.125,0.25,1.75
5039,Feminino,Parda,Estadual,424.4,586.4,580.0,569.6,820.0,PG incompleto,ES incompleto,True,18.0,412.50125,0.5,0.0,0.0,0.5
5040,Masculino,Parda,Privada,602.4,546.4,726.5,587.3,760.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.0
5041,Masculino,Parda,Estadual,391.2,418.8,458.3,463.3,0.0,ES incompleto,ES incompleto,True,17.0,742.50125,0.75,0.0,0.5,1.25
5042,Feminino,Preta,Estadual,558.5,430.2,580.7,544.9,520.0,PG incompleto,PG incompleto,True,17.0,1155.00125,1.125,0.25,0.25,1.5
5043,Feminino,Preta,Privada,571.8,602.8,719.9,622.3,880.0,ES incompleto,PG incompleto,True,18.0,1980.0016666666668,1.5,1.0,1.0,3.5
5044,Feminino,Branca,Privada,536.9,450.9,440.7,489.0,520.0,EM incompleto,EM incompleto,True,17.0,907.50125,1.125,0.25,0.25,1.5
5045,Masculino,Branca,Privada,666.5,638.2,661.4,604.5,880.0,PG completo,PG completo,True,18.0,3630.00125,1.125,1.125,0.25,1.75
5046,Feminino,Preta,Estadual,479.6,394.1,394.3,479.0,760.0,EF-1 incompleto,ES incompleto,False,17.0,220.0,0.3333333333333333,0.0,0.0,0.6666666666666666
