,TP_SEXO,TP_COR_RACA,TP_DEPENDENCIA_ADM_ESC,NU_NOTA_CH,NU_NOTA_CN,NU_NOTA_MT,NU_NOTA_LC,NU_NOTA_REDACAO,ESCOLARIDADE_PAI,ESCOLARIDADE_MAE,INTERNET_CASA,EST_IDADE,EST_RENDA_PER_CAP,EST_CELULAR_PER_CAP,EST_COMP_PER_CAP,EST_VEICULO_PER_CAP,EST_ELE_DOM_PER_CAP
2846,Feminino,Branca,Estadual,597.2,454.5,508.6,545.1,600.0,EM incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
2847,Feminino,Parda,Estadual,527.6,525.7,491.7,513.8,360.0,EF-2 incompleto,PG incompleto,False,17.0,1485.0025,1.0,0.5,0.5,2.5
2848,Masculino,Branca,Estadual,468.9,451.6,489.6,549.5,680.0,PG completo,ES incompleto,True,18.0,742.50125,1.125,0.75,0.75,1.25
2849,Masculino,Branca,Privada,661.0,664.7,680.6,651.5,700.0,PG incompleto,ES incompleto,True,18.0,7700.001666666666,1.0,1.0,0.3333333333333333,3.5
2850,Feminino,Branca,Estadual,552.7,531.6,718.3,541.0,960.0,ES incompleto,PG incompleto,True,17.0,742.50125,0.5,0.25,0.25,1.25
2851,Feminino,Branca,Privada,589.6,513.2,404.8,572.0,720.0,ES incompleto,ES incompleto,True,18.0,1980.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
2852,Masculino,Branca,Privada,679.7,732.6,876.7,618.7,840.0,PG completo,PG incompleto,True,17.0,1650.0008333333335,0.75,0.75,0.1666666666666666,1.0
2853,Masculino,Branca,Federal,635.4,504.5,790.7,619.8,880.0,EM incompleto,ES incompleto,True,19.0,1485.0025,1.0,0.5,0.0,2.5
2854,Masculino,Parda,Privada,608.7,567.5,542.1,566.1,620.0,ES incompleto,PG completo,True,16.0,2970.0025,1.0,1.0,0.5,2.5
2855,Masculino,Parda,Estadual,541.9,533.2,517.6,544.7,540.0,ES incompleto,ES incompleto,True,17.0,907.50125,1.125,0.0,0.0,1.25
2856,Feminino,Preta,Estadual,499.5,439.2,494.6,548.3,900.0,ES incompleto,ES incompleto,True,18.0,1155.0025,1.0,0.0,0.0,3.0
2857,Feminino,Parda,Estadual,582.4,510.3,532.0,540.1,540.0,EM incompleto,EF-2 incompleto,True,18.0,330.0007142857143,0.6428571428571429,0.0,0.0,0.1428571428571428
2858,Masculino,Branca,Estadual,553.9,483.7,579.2,549.8,780.0,PG incompleto,PG incompleto,True,18.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
2859,Masculino,Branca,Privada,584.6,351.0,364.7,555.8,680.0,PG completo,PG completo,True,18.0,11550.0025,1.0,1.0,0.5,4.75
2860,Feminino,Branca,Privada,577.6,499.7,664.3,563.3,740.0,PG incompleto,ES incompleto,True,17.0,770.0016666666667,1.0,0.6666666666666666,0.0,1.6666666666666667
2861,Feminino,Branca,Estadual,550.9,437.4,430.0,522.8,840.0,ES incompleto,EM incompleto,True,18.0,550.0016666666667,0.3333333333333333,0.0,0.0,0.6666666666666666
2862,Feminino,Branca,Privada,440.2,359.2,689.5,537.2,900.0,PG completo,PG completo,True,17.0,3300.001666666667,1.0,0.6666666666666666,0.6666666666666666,2.0
2863,Feminino,Branca,Estadual,482.0,509.3,401.1,440.4,520.0,ES incompleto,ES incompleto,True,18.0,412.50125,1.125,0.0,0.25,1.25
2864,Masculino,Branca,Privada,675.7,707.3,920.0,684.4,900.0,PG completo,PG incompleto,True,18.0,7425.001249999999,1.125,1.125,0.25,2.0
2865,Feminino,Branca,Privada,609.6,642.1,777.6,636.9,880.0,PG completo,ES incompleto,True,18.0,7425.001249999999,1.125,1.125,0.5,2.25
2866,Feminino,Branca,Privada,674.4,580.9,720.9,589.3,840.0,PG completo,PG completo,True,17.0,2310.0025,1.0,1.0,0.5,4.0
2867,Feminino,Branca,Privada,691.7,529.6,733.5,648.6,720.0,PG incompleto,ES incompleto,True,18.0,3630.00125,1.125,0.75,0.25,2.625
2868,Masculino,Parda,Estadual,531.0,558.3,603.4,557.9,740.0,ES incompleto,ES incompleto,True,18.0,924.001,0.9,0.0,0.0,0.8
2869,Masculino,Branca,Privada,580.3,545.3,680.4,555.3,760.0,ES incompleto,PG incompleto,True,18.0,1540.0016666666668,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.6666666666666667
2870,Masculino,Branca,Estadual,381.8,565.2,474.9,529.8,620.0,EF-2 incompleto,EM incompleto,True,18.0,1188.001,0.9,0.2,0.0,1.2
2871,Masculino,Branca,Estadual,549.7,464.6,701.0,515.3,480.0,PG incompleto,PG incompleto,True,17.0,1815.00125,1.125,0.75,0.75,1.75
2872,Feminino,Branca,Privada,668.9,679.3,702.1,624.4,840.0,PG completo,PG completo,True,17.0,4455.00125,0.75,0.75,0.25,2.0
2873,Masculino,Parda,Privada,639.3,653.9,728.9,650.6,920.0,PG completo,PG completo,True,18.0,4840.001666666667,1.0,0.6666666666666666,0.3333333333333333,2.833333333333333
2874,Masculino,Parda,Estadual,542.9,468.8,572.6,530.4,560.0,EF-2 incompleto,ES incompleto,True,17.0,550.0016666666667,0.6666666666666666,0.3333333333333333,0.0,1.3333333333333333
2875,Feminino,Branca,Privada,645.0,635.7,746.3,663.2,880.0,PG completo,PG completo,True,18.0,5775.001249999999,1.125,0.25,0.25,2.625
2876,Feminino,Branca,Estadual,470.5,342.6,440.0,471.3,360.0,ES incompleto,PG incompleto,True,18.0,1540.0016666666668,1.0,0.6666666666666666,0.0,2.0
2877,Feminino,Branca,Privada,641.6,628.5,767.9,604.0,740.0,PG completo,PG completo,True,18.0,9900.001666666663,1.5,1.5,0.6666666666666666,2.6666666666666665
2878,Feminino,Branca,Privada,559.4,561.5,551.3,559.5,720.0,PG completo,PG incompleto,True,17.0,907.50125,1.125,1.125,0.25,2.5
2879,Feminino,Branca,Estadual,542.7,554.6,644.4,583.3,640.0,EM incompleto,ES incompleto,True,19.0,907.50125,1.125,0.5,0.5,1.5
2880,Feminino,Parda,Estadual,546.7,412.1,328.6,545.6,560.0,ES incompleto,EF-1 incompleto,True,18.0,275.00083333333333,0.5,0.0,0.0,1.0
2881,Feminino,Preta,Estadual,515.1,336.0,546.0,553.8,680.0,ES incompleto,ES incompleto,True,18.0,577.50125,1.125,0.0,0.0,1.25
2882,Feminino,Branca,Privada,739.4,682.5,755.5,681.0,620.0,ES incompleto,ES incompleto,True,18.0,1540.0016666666668,1.0,0.6666666666666666,0.0,2.0
2883,Feminino,Preta,Estadual,611.7,495.7,457.3,567.9,640.0,EM incompleto,ES incompleto,True,18.0,577.50125,0.75,0.25,0.25,1.25
2884,Masculino,Parda,Estadual,500.0,323.8,493.8,497.2,580.0,EM incompleto,ES incompleto,True,18.0,924.001,0.6,0.2,0.2,1.4
2885,Feminino,Branca,Estadual,449.8,473.5,503.4,570.8,620.0,PG incompleto,PG completo,True,18.0,1815.0025,1.0,0.0,0.0,2.5
2886,Masculino,Branca,Privada,564.8,485.7,608.3,538.1,840.0,PG incompleto,PG completo,True,18.0,2860.001666666667,1.0,1.0,0.3333333333333333,2.0
2887,Feminino,Branca,Estadual,529.5,472.4,591.4,525.0,660.0,EF-2 incompleto,ES incompleto,True,18.0,577.50125,0.75,0.0,0.0,1.25
2888,Masculino,Branca,Estadual,346.9,549.2,535.2,518.8,680.0,EF-2 incompleto,ES incompleto,True,17.0,412.50125,0.5,0.25,0.25,1.5
2889,Masculino,Preta,Privada,498.3,472.3,558.4,458.3,640.0,EM incompleto,ES incompleto,True,17.0,550.0016666666667,1.5,0.3333333333333333,0.3333333333333333,2.0
2890,Feminino,Branca,Privada,523.2,487.0,372.3,451.3,560.0,ES incompleto,ES incompleto,True,17.0,1210.0016666666668,1.0,0.3333333333333333,0.6666666666666666,1.3333333333333333
2891,Feminino,Branca,Privada,711.4,667.1,859.9,668.9,940.0,PG completo,PG completo,True,18.0,7425.001249999999,1.125,1.125,0.5,2.375
2892,Masculino,Branca,Privada,746.8,642.3,790.7,641.4,840.0,ES incompleto,PG incompleto,True,18.0,1155.00125,1.125,0.75,0.25,2.25
2893,Masculino,Parda,Estadual,474.7,395.9,618.9,435.9,620.0,ES incompleto,ES incompleto,True,18.0,462.001,0.4,0.0,0.0,0.6
2894,Feminino,Branca,Privada,557.7,420.8,609.9,542.1,820.0,PG incompleto,PG incompleto,True,17.0,5940.001666666667,1.0,1.0,0.6666666666666666,2.6666666666666665
2895,Masculino,Branca,Estadual,377.7,504.9,573.8,488.5,620.0,ES incompleto,ES incompleto,True,17.0,412.50125,0.0,0.0,0.5,1.0
2896,Masculino,Branca,Estadual,589.8,523.8,550.8,597.7,620.0,ES incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.0,2.333333333333333
2897,Feminino,Amarela,Privada,663.3,673.9,698.5,617.4,840.0,PG completo,PG completo,True,17.0,9900.001666666663,1.0,1.0,0.3333333333333333,1.6666666666666667
2898,Feminino,Preta,Estadual,556.7,446.9,479.8,542.7,600.0,EF-1 incompleto,EF-2 incompleto,True,18.0,412.50125,0.5,0.0,0.0,0.25
2899,Feminino,Branca,Privada,483.0,518.1,617.1,554.5,560.0,ES incompleto,ES incompleto,True,17.0,1716.0010000000002,0.9,0.9,0.2,1.4
2900,Feminino,Branca,Estadual,574.2,580.8,579.7,495.2,660.0,EM incompleto,EF-1 incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.0,2.0
2901,Feminino,Branca,Privada,665.5,583.0,698.5,628.1,960.0,ES incompleto,ES incompleto,True,18.0,2145.0012500000003,1.125,0.25,0.5,1.75
2902,Feminino,Branca,Estadual,579.3,467.4,375.5,536.2,580.0,ES incompleto,PG incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.0
2903,Masculino,Branca,Estadual,641.8,629.2,799.3,586.1,820.0,ES incompleto,PG completo,True,17.0,1716.0010000000002,0.9,0.2,0.6,1.0
2904,Feminino,Parda,Estadual,599.7,369.5,444.3,531.2,720.0,EM incompleto,ES incompleto,True,18.0,330.00100000000003,0.6,0.0,0.2,0.8
2905,Masculino,Branca,Privada,660.6,662.9,777.5,667.0,940.0,PG incompleto,PG incompleto,True,17.0,5940.001666666667,1.0,0.3333333333333333,0.6666666666666666,2.333333333333333
2906,Feminino,Branca,Privada,507.7,461.9,484.3,530.0,820.0,EF-2 incompleto,ES incompleto,True,18.0,412.50125,0.75,0.25,0.25,1.0
2907,Feminino,Branca,Privada,697.0,740.5,790.3,682.9,860.0,PG incompleto,PG completo,True,18.0,4290.0025000000005,1.0,0.5,0.0,2.5
2908,Feminino,Branca,Privada,642.7,484.2,727.8,592.0,940.0,ES incompleto,PG completo,True,17.0,2475.0012500000003,1.125,0.25,0.5,2.0
2909,Feminino,Branca,Privada,596.8,414.1,600.3,567.7,880.0,PG completo,PG incompleto,True,18.0,1716.0010000000002,0.9,0.6,0.2,1.4
2910,Masculino,Preta,Privada,316.8,463.9,413.1,396.7,700.0,EF-1 incompleto,EF-2 incompleto,True,19.0,770.0016666666667,1.0,0.3333333333333333,0.0,2.333333333333333
2911,Masculino,Parda,Estadual,573.1,516.9,381.0,566.9,660.0,Nunca estudou,ES incompleto,True,17.0,770.0016666666667,1.0,0.6666666666666666,0.0,2.6666666666666665
2912,Masculino,Branca,Privada,514.7,457.8,553.7,575.4,620.0,PG completo,PG incompleto,True,17.0,594.001,0.9,0.2,0.4,2.1
2913,Masculino,Branca,Privada,648.2,675.2,757.7,605.4,720.0,PG incompleto,ES incompleto,True,17.0,5775.001249999999,1.125,0.5,0.5,2.625
2914,Feminino,Parda,Estadual,516.4,551.2,682.2,570.7,640.0,PG incompleto,ES incompleto,True,18.0,1155.00125,1.125,0.25,0.0,1.0
2915,Feminino,Amarela,Privada,544.8,701.8,891.3,562.8,920.0,PG completo,PG completo,True,17.0,17820.005,1.0,1.0,0.0,5.0
2916,Feminino,Preta,Privada,561.7,500.1,452.3,551.2,680.0,ES incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.0,1.6666666666666667
2917,Feminino,Preta,Estadual,609.9,575.5,745.5,593.1,900.0,ES incompleto,ES incompleto,True,18.0,907.50125,1.125,0.5,0.25,1.75
2918,Masculino,Parda,Estadual,474.1,452.3,467.4,479.4,560.0,ES incompleto,ES incompleto,True,18.0,412.50125,1.125,0.0,0.75,1.0
2919,Masculino,Branca,Privada,651.5,606.0,695.4,582.8,640.0,ES incompleto,ES incompleto,True,18.0,1716.0010000000002,0.9,0.6,0.8,1.9
2920,Masculino,Branca,Privada,535.4,443.4,540.6,586.7,780.0,ES incompleto,ES incompleto,True,18.0,1540.0016666666668,0.0,0.3333333333333333,0.3333333333333333,2.0
2921,Feminino,Branca,Privada,597.3,603.0,688.8,569.8,600.0,ES incompleto,ES incompleto,True,18.0,1540.0016666666668,1.0,0.6666666666666666,0.3333333333333333,2.333333333333333
2922,Feminino,Branca,Estadual,515.8,508.6,454.3,580.5,540.0,EF-2 incompleto,EM incompleto,True,18.0,825.0025,1.0,0.0,0.0,1.5
2923,Masculino,Branca,Privada,558.0,535.1,781.8,586.5,580.0,PG completo,PG incompleto,True,18.0,7700.001666666666,1.0,0.3333333333333333,0.6666666666666666,2.6666666666666665
2924,Feminino,Parda,Privada,558.9,569.4,681.6,593.6,780.0,ES incompleto,PG incompleto,True,18.0,4620.000999999999,0.9,0.2,0.6,1.6
2925,Masculino,Preta,Estadual,620.4,509.8,599.4,577.4,520.0,PG completo,ES incompleto,True,17.0,1815.00125,0.75,0.25,0.25,1.5
2926,Feminino,Parda,Privada,494.4,403.2,447.7,502.4,660.0,ES incompleto,EM incompleto,True,17.0,825.0025,1.0,0.0,0.5,3.0
2927,Masculino,Branca,Estadual,536.8,488.7,619.9,505.1,580.0,ES incompleto,PG incompleto,True,18.0,1210.0016666666668,1.0,0.0,0.6666666666666666,1.6666666666666667
2928,Masculino,Branca,Privada,615.2,473.6,729.5,523.6,820.0,ES incompleto,ES incompleto,True,17.0,1815.00125,1.125,0.25,0.25,1.25
2929,Masculino,Parda,Estadual,616.8,607.7,704.9,615.5,580.0,PG incompleto,PG incompleto,True,17.0,2860.001666666667,1.0,0.0,0.6666666666666666,1.0
2930,Feminino,Preta,Estadual,463.4,433.0,366.2,516.2,680.0,PG completo,PG completo,True,17.0,577.50125,0.75,0.25,0.25,1.5
2931,Feminino,Parda,Estadual,600.1,542.9,454.8,555.1,720.0,ES incompleto,PG completo,True,18.0,1815.0025,1.0,0.5,0.5,4.5
2932,Feminino,Parda,Estadual,488.7,470.2,536.9,476.9,540.0,PG completo,ES incompleto,True,18.0,1155.00125,1.125,0.25,0.5,2.0
2933,Masculino,Amarela,Privada,545.3,503.8,664.4,577.5,520.0,PG completo,PG completo,True,17.0,4950.000833333333,0.5,0.5,0.3333333333333333,1.1666666666666667
2934,Feminino,Branca,Estadual,539.5,533.6,528.6,558.6,600.0,ES incompleto,ES incompleto,True,17.0,1155.0025,1.0,1.0,0.0,2.5
2935,Masculino,Preta,Estadual,372.1,324.9,518.0,465.8,560.0,ES incompleto,ES incompleto,True,17.0,550.0016666666667,1.0,0.0,0.0,1.6666666666666667
2936,Masculino,Branca,Privada,557.5,474.2,633.2,503.7,820.0,PG completo,PG completo,True,17.0,4180.001666666667,1.0,1.0,0.6666666666666666,2.6666666666666665
2937,Feminino,Amarela,Privada,604.0,516.6,733.4,581.1,600.0,ES incompleto,ES incompleto,True,17.0,462.001,0.9,0.2,0.2,1.0
2938,Feminino,Branca,Estadual,477.2,456.5,594.3,491.4,840.0,EF-1 incompleto,EF-2 incompleto,True,18.0,742.50125,1.125,0.0,0.25,1.25
2939,Feminino,Branca,Estadual,516.6,514.7,531.4,604.4,580.0,EF-2 incompleto,EF-2 incompleto,True,17.0,462.001,0.9,0.0,0.4,0.8
2940,Feminino,Branca,Estadual,611.6,543.3,459.3,612.1,920.0,EF-1 incompleto,ES incompleto,True,18.0,594.001,0.6,0.0,0.2,1.0
2941,Feminino,Branca,Privada,623.9,619.6,640.6,591.1,600.0,PG incompleto,PG completo,True,17.0,5940.001666666667,1.0,1.0,0.6666666666666666,3.6666666666666665
2942,Masculino,Preta,Privada,552.6,486.2,454.9,499.7,760.0,PG incompleto,PG incompleto,True,17.0,1155.00125,1.125,0.5,0.25,1.75
2943,Masculino,Preta,Privada,609.0,542.7,732.7,590.1,800.0,PG completo,EM incompleto,True,17.0,3630.00125,0.75,0.75,0.25,1.5
2944,Masculino,Branca,Privada,443.3,376.1,649.7,638.8,640.0,PG completo,PG completo,True,18.0,2860.001666666667,1.0,0.6666666666666666,0.6666666666666666,2.333333333333333
2945,Masculino,Branca,Privada,594.2,476.9,651.9,567.5,740.0,EM incompleto,PG completo,True,17.0,3135.0012500000003,0.75,0.5,0.5,1.25
2946,Feminino,Branca,Estadual,499.7,510.7,475.1,531.7,680.0,PG incompleto,ES incompleto,True,17.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.3333333333333333
2947,Masculino,Branca,Privada,626.3,643.2,721.2,623.7,720.0,PG incompleto,PG completo,True,18.0,5940.001666666667,1.5,0.6666666666666666,0.3333333333333333,1.6666666666666667
2948,Feminino,Branca,Estadual,320.8,471.9,410.1,523.9,640.0,ES incompleto,ES incompleto,True,18.0,742.50125,0.5,0.25,0.25,1.0
2949,Masculino,Branca,Privada,591.0,568.1,728.8,538.3,600.0,PG completo,PG completo,True,17.0,1980.0016666666668,1.0,1.0,0.3333333333333333,3.5
2950,Masculino,Branca,Privada,407.2,384.0,482.1,454.0,360.0,PG incompleto,PG incompleto,True,16.0,2860.001666666667,1.0,0.6666666666666666,0.3333333333333333,1.6666666666666667
2951,Feminino,Branca,Estadual,407.6,341.9,472.5,513.6,540.0,EF-2 incompleto,ES incompleto,True,18.0,550.0016666666667,1.0,0.0,0.0,2.0
2952,Masculino,Branca,Estadual,588.2,459.3,516.5,595.6,720.0,ES incompleto,EF-1 incompleto,True,18.0,742.50125,1.125,0.5,0.0,1.75
2953,Feminino,Parda,Privada,480.2,488.3,638.0,527.7,920.0,EM incompleto,ES incompleto,True,17.0,1815.00125,0.75,0.5,0.25,2.0
2954,Feminino,Branca,Privada,640.7,467.9,650.5,587.1,920.0,PG incompleto,ES incompleto,True,17.0,3850.000833333333,0.75,0.75,0.3333333333333333,1.5
2955,Feminino,Amarela,Privada,528.6,452.4,467.6,542.6,360.0,PG incompleto,ES incompleto,True,17.0,1188.001,0.9,0.6,0.4,1.8
2956,Feminino,Parda,Municipal,529.2,445.2,346.9,413.8,660.0,ES incompleto,EM incompleto,True,17.0,550.0016666666667,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666
2957,Feminino,Branca,Privada,528.2,568.2,606.7,525.9,600.0,EM incompleto,ES incompleto,True,18.0,2310.0025,1.0,0.5,0.5,2.5
2958,Masculino,Branca,Privada,660.6,689.1,870.8,696.6,880.0,PG incompleto,PG completo,True,17.0,7425.001249999999,1.125,0.5,0.25,2.875
2959,Feminino,Branca,Estadual,599.0,547.7,664.2,554.8,680.0,ES incompleto,ES incompleto,True,17.0,1485.00125,1.125,0.0,0.25,1.25
2960,Feminino,Branca,Privada,501.7,512.2,618.9,531.1,640.0,PG incompleto,ES incompleto,True,17.0,1155.00125,1.125,0.25,0.25,2.0
2961,Masculino,Branca,Privada,608.1,469.7,653.2,578.4,940.0,PG completo,PG completo,True,18.0,14850.0025,2.25,1.0,0.5,4.5
2962,Feminino,Amarela,Privada,594.4,514.9,696.4,618.1,940.0,PG completo,PG completo,True,18.0,14850.0025,0.0,1.0,1.0,2.5
2963,Feminino,Parda,Estadual,564.5,479.0,502.4,564.5,740.0,EF-1 incompleto,EM incompleto,True,17.0,220.0,0.6666666666666666,0.3333333333333333,0.0,1.0
2964,Masculino,Branca,Privada,644.0,678.4,795.1,658.4,760.0,PG completo,PG incompleto,True,18.0,7425.001249999999,1.125,1.125,0.5,2.25
2965,Masculino,Branca,Privada,606.5,553.8,682.6,622.4,860.0,ES incompleto,PG completo,True,18.0,3300.001666666667,1.0,0.6666666666666666,0.3333333333333333,2.0
2966,Feminino,Branca,Estadual,563.9,519.7,590.4,561.8,980.0,ES incompleto,PG incompleto,True,18.0,907.50125,1.125,0.25,0.25,1.75
2967,Masculino,Parda,Privada,476.5,451.5,378.5,503.0,640.0,PG completo,PG incompleto,True,17.0,770.0016666666667,1.0,0.3333333333333333,0.6666666666666666,2.333333333333333
2968,Feminino,Branca,Estadual,490.3,456.4,466.9,501.5,880.0,EF-1 incompleto,EM incompleto,True,18.0,924.001,0.6,0.2,0.4,1.0
2969,Feminino,Parda,Estadual,327.7,396.6,473.8,305.2,320.0,EF-1 incompleto,EF-2 incompleto,True,18.0,275.00083333333333,0.75,0.0,0.0,0.6666666666666666
2970,Feminino,Branca,Municipal,367.7,337.0,366.7,366.6,0.0,EF-1 incompleto,EF-1 incompleto,True,18.0,94.28571428571428,0.1428571428571428,0.0,0.0,0.5714285714285714
2971,Feminino,Preta,Estadual,557.0,540.1,419.3,533.0,480.0,EF-2 incompleto,EF-2 incompleto,True,18.0,165.0,1.125,0.0,0.0,1.25
2972,Feminino,Branca,Estadual,443.6,431.4,417.3,456.3,640.0,EF-2 incompleto,ES incompleto,True,18.0,594.001,0.0,0.0,0.2,1.2
2973,Feminino,Preta,Estadual,569.5,521.2,546.5,559.4,560.0,EM incompleto,EF-2 incompleto,True,18.0,550.0016666666667,1.0,0.0,0.3333333333333333,1.6666666666666667
2974,Masculino,Parda,Estadual,443.9,394.3,443.8,558.2,520.0,EF-1 incompleto,EM incompleto,True,18.0,165.0,1.125,0.25,0.25,1.5
2975,Masculino,Branca,Estadual,414.4,401.8,500.0,499.2,500.0,ES incompleto,EM incompleto,True,17.0,990.0016666666668,1.5,0.3333333333333333,0.3333333333333333,2.6666666666666665
2976,Masculino,Parda,Estadual,545.6,601.4,679.3,431.0,560.0,EM incompleto,PG incompleto,True,18.0,990.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.0
2977,Masculino,Branca,Estadual,415.0,434.4,419.4,456.8,600.0,ES incompleto,EM incompleto,True,19.0,220.0,1.0,0.0,0.0,1.0
2978,Feminino,Branca,Privada,666.2,636.6,710.5,676.4,900.0,PG incompleto,PG completo,True,17.0,9900.001666666663,1.0,1.5,0.6666666666666666,3.5
2979,Masculino,Branca,Privada,621.7,576.1,619.1,571.1,740.0,PG incompleto,PG completo,True,19.0,3300.001666666667,1.0,1.5,0.3333333333333333,3.1666666666666665
2980,Feminino,Branca,Privada,592.7,542.3,668.0,458.7,780.0,PG completo,PG incompleto,True,17.0,4455.00125,1.125,0.5,0.5,1.75
2981,Masculino,Preta,Estadual,507.2,0.0,0.0,585.9,540.0,EM incompleto,ES incompleto,True,18.0,605.0008333333334,0.5,0.1666666666666666,0.0,0.8333333333333334
2982,Feminino,Branca,Privada,647.9,553.1,641.4,623.5,740.0,PG incompleto,PG incompleto,True,17.0,2805.0012500000003,1.125,1.125,0.5,1.75
2983,Masculino,Branca,Municipal,566.3,500.1,631.0,584.6,500.0,EF-2 incompleto,EM incompleto,True,18.0,412.50125,0.5,0.0,0.0,1.0
2984,Feminino,Branca,Privada,743.4,717.5,879.5,657.1,980.0,PG incompleto,PG completo,True,17.0,4455.00125,1.125,1.125,0.25,2.375
2985,Feminino,Branca,Privada,601.7,499.1,665.9,604.6,780.0,PG completo,ES incompleto,True,18.0,4840.001666666667,1.0,1.0,0.6666666666666666,3.1666666666666665
2986,Feminino,Preta,Estadual,532.8,388.3,473.8,562.9,720.0,ES incompleto,PG completo,True,17.0,742.50125,0.75,0.25,0.25,1.5
2987,Feminino,Branca,Privada,682.5,700.8,820.9,678.0,900.0,ES incompleto,ES incompleto,True,17.0,1540.0016666666668,0.6666666666666666,0.3333333333333333,0.3333333333333333,2.0
2988,Feminino,Preta,Estadual,579.4,446.7,571.8,609.9,660.0,EF-2 incompleto,ES incompleto,True,18.0,770.0016666666667,1.0,0.3333333333333333,0.0,2.0
2989,Feminino,Branca,Privada,565.6,515.5,630.0,509.9,720.0,PG incompleto,ES incompleto,True,17.0,2420.0016666666666,1.0,0.3333333333333333,0.3333333333333333,2.6666666666666665
2990,Masculino,Parda,Estadual,633.2,589.0,627.3,560.0,640.0,EF-2 incompleto,ES incompleto,True,18.0,990.0016666666668,1.0,0.0,0.3333333333333333,1.3333333333333333
2991,Masculino,Branca,Estadual,596.8,627.7,634.0,554.1,740.0,ES incompleto,ES incompleto,True,17.0,412.50125,0.75,0.25,0.0,1.0
2992,Feminino,Branca,Privada,581.5,585.3,691.2,583.2,940.0,PG completo,PG incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,1.6666666666666667
2993,Feminino,Parda,Estadual,560.3,474.9,382.9,561.1,620.0,EM incompleto,EF-2 incompleto,True,17.0,220.0,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667
2994,Masculino,Parda,Estadual,382.3,478.8,390.4,494.2,320.0,PG incompleto,PG incompleto,True,18.0,924.001,0.2,0.2,0.2,1.4
2995,Feminino,Branca,Privada,501.5,564.7,622.7,600.5,740.0,PG incompleto,ES incompleto,True,17.0,1540.0016666666668,1.0,0.3333333333333333,0.3333333333333333,2.0
2996,Feminino,Branca,Estadual,500.0,382.6,391.8,509.2,560.0,EF-2 incompleto,EM incompleto,True,18.0,330.0,1.5,0.0,0.0,2.5
2997,Feminino,Branca,Estadual,459.6,425.7,383.7,475.7,400.0,EF-2 incompleto,EM incompleto,True,17.0,550.0016666666667,1.0,0.0,0.0,1.6666666666666667
2998,Feminino,Branca,Privada,557.1,523.4,588.5,403.1,680.0,PG completo,PG completo,True,17.0,1540.0016666666668,1.0,1.0,0.3333333333333333,2.6666666666666665
2999,Masculino,Preta,Privada,554.2,394.1,506.8,550.7,540.0,ES incompleto,ES incompleto,True,17.0,3135.0012500000003,1.125,0.5,0.75,2.125
3000,Feminino,Branca,Privada,597.6,615.2,689.1,589.9,880.0,PG completo,PG completo,True,16.0,1540.0016666666668,1.0,1.0,0.6666666666666666,3.1666666666666665
3001,Masculino,Amarela,Privada,575.7,639.1,725.7,566.2,800.0,PG completo,PG incompleto,True,18.0,3564.001,0.9,0.2,0.0,1.4
3002,Masculino,Branca,Privada,651.2,612.2,665.9,649.4,540.0,PG completo,PG incompleto,True,18.0,2805.0012500000003,1.125,0.5,0.25,1.75
3003,Feminino,Branca,Estadual,448.1,463.6,418.8,477.2,520.0,ES incompleto,ES incompleto,True,18.0,330.00100000000003,0.9,0.4,0.0,1.4
3004,Masculino,Preta,Estadual,531.9,462.9,555.5,538.8,700.0,PG incompleto,ES incompleto,True,18.0,1155.00125,1.125,0.25,0.5,1.5
3005,Masculino,Branca,Privada,601.2,559.0,532.9,590.2,720.0,ES incompleto,ES incompleto,True,19.0,3630.00125,0.75,1.125,0.5,2.0
3006,Feminino,Branca,Estadual,516.1,538.4,585.4,579.7,700.0,PG incompleto,ES incompleto,True,17.0,726.001,0.9,0.0,0.2,0.8
3007,Masculino,Branca,Estadual,571.1,534.4,546.8,564.2,500.0,EF-1 incompleto,ES incompleto,True,18.0,577.50125,0.75,0.25,0.25,1.5
3008,Feminino,Branca,Privada,540.9,522.2,676.4,577.0,880.0,PG completo,PG completo,True,17.0,7425.001249999999,1.125,1.125,0.5,2.0
3009,Masculino,Branca,Privada,638.1,573.4,705.0,622.3,680.0,PG incompleto,PG completo,True,17.0,1485.00125,1.125,1.125,0.5,3.125
3010,Masculino,Parda,Estadual,558.3,531.3,474.9,486.9,0.0,EM incompleto,EF-1 incompleto,False,18.0,220.0,0.0,0.0,0.0,0.3333333333333333
